id,category,text
br_open_evening,broadcast_open,Good evening everyone. A warm welcome on a beautiful night for baseball here at the ballpark.
br_open_measured,broadcast_open,Thanks for joining us tonight. We are set for first pitch with two teams ready to compete at a high level.
br_open_ballpark,broadcast_open,It is great to be with you from the yard tonight where the lights are bright and the crowd is ready.
br_first_pitch,inning_bridge,Here we go. The first offering of the night is on the way.
br_mid_game,inning_bridge,We pick it up with the game well underway and both sides trading punches on the mound and at the plate.
br_late_innings,inning_bridge,Late innings now. Every pitch matters and the tension is building in this ballpark.
br_extra_innings,extra_innings,Free baseball tonight. We are headed to extra frames with everything still on the table.
br_tie_late,situation,We are knotted up late. One swing or one mistake could decide this one.
br_risp_pressure,situation,Runners in scoring position here. The infield is tight and the crowd is on its feet.
br_bases_loaded,situation,The bags are full. A base hit could break this open.
br_full_count,count,Full count. The hitter is locked in and the pitcher is one pitch from escaping or paying.
br_batter_intro_v1,batter_intro,Stepping in now is a hitter who has been seeing the ball well in recent games.
br_batter_intro_v2,batter_intro,Here comes a dangerous bat in this lineup. The defense knows he can change the scoreboard in a hurry.
br_pitcher_dealing,pitching,On the hill tonight is a pitcher who is commanding the edges and keeping hitters off balance.
br_pitcher_labors,pitching,He is working hard out there. The pitch count is climbing and the bullpen is stirring.
br_changeup_away,pitching,That changeup away freezes him. Veteran sequencing right there.
br_fastball_in,pitching,He goes upstairs with heat and ties him up inside.
br_curve_buckles,pitching,Big breaking ball drops in for a called strike. The hitter never offered.
br_single_lf_gap,hit_single,Base hit the other way into left. He is on with a clean knock.
br_single_bleeder,hit_single,That one finds grass through the infield. It is not pretty but it counts.
br_single_oppo,hit_single,He stays inside it and serves one into opposite field for a base hit.
br_double_alley,hit_double,Driven deep into the gap. He is digging for second and he is there standing up with a double.
br_double_line,hit_double,A laser down the line and it is off the wall in a hurry. Extra bases here.
br_triple_corner,hit_triple,That ball rolls forever into the corner. He is flying around the bases and slides in safely with a triple.
br_homer_no_doubt,homerun,No doubt about it. He knew it off the bat and this crowd is on its feet.
br_homer_oppo,homerun,Opposite field power. He stayed through it and drove it out the other way.
br_homer_pulled,homerun,He turns on one and pulls it deep. That ball is gone in a hurry.
br_homer_roof,homerun,High and deep. That one might leave the entire building.
br_grand_slam,homerun,Grand slam. A swing that clears the bases and blows the roof off this place.
br_inside_park,homerun,Chaos in the outfield and he never stops running. An inside-the-parker and you do not see that every day.
br_fly_routine,out_air,Routine fly ball to the outfield. The defender settles under it and makes the catch.
br_fly_track,out_air,He got under it a bit but the outfielder tracks it down on the warning track.
br_lineout_sharp,out_air,Barreled but right at him. A line drive out and the defense breathes a sigh of relief.
br_inf_pop,out_air,Sky high in the infield. Somebody call it because that is an easy out.
br_groundout_shift,out_ground,Right into the shift. A ground ball swallowed up and an easy throw across the diamond.
br_groundout_slow,out_ground,Slow roller to third. The only play is to first and he beats it by a step.
br_double_play,double_play,Ground ball up the middle. They turn two in style and the inning is over.
br_strikeout_swing,strikeout,He swings through it upstairs for strike three and a big punchout.
br_strikeout_check,strikeout,Caught looking on a borderline pitch. He wants no part of that call.
br_strikeout_chase,strikeout,Chase off the plate in the dirt. The slider did its job.
br_walk_nibble,walk,The payoff misses and he has worked a walk. The inning stays alive.
br_walk_intent,walk,They will put him on intentionally and take their chances with the next hitter.
br_hbp,walk,That one rides inside and clips him. He takes his base.
